simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
940,音乐厅,天主堂,200,0,False,200,0,False,0,False
941,天主堂,陡坡B,100,0,False,100,0,False,0,False
942,音乐厅,协和礼拜堂,280,0,False,280,0,False,0,False
943,福建路路口,天主堂,40,0,False,40,0,False,0,False
944,三岔路口A,天主堂,130,500,True,180,0,False,50,True
945,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
946,黄荣远堂,协和礼拜堂,180,0,False,180,0,False,0,False
947,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
948,陡坡B,福建路路口,140,0,False,140,0,False,0,False
949,海天堂构,三岔路口A,250,500,True,300,0,False,50,True
950,平路C,福建路路口,160,0,False,160,0,False,0,False
951,平路C,黄荣远堂,220,0,False,220,0,False,0,False
952,陡坡B,平路C,60,0,False,60,0,False,0,False
953,黄荣远堂,音乐厅,100,0,False,100,0,False,0,False
954,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
955,海天堂构,音乐厅,120,0,False,120,0,False,0,False
956,轮渡码头入口,协和礼拜堂,100,500,True,150,0,False,50,True
957,福建路路口,海天堂构,80,10,False,80,0,False,0,True
958,海天堂构,音乐厅,120,0,False,120,0,False,0,False
959,平路C,海天堂构,240,10,False,240,0,False,0,True
960,天主堂,海天堂构,120,10,False,120,0,False,0,True
961,音乐厅,黄荣远堂,100,0,False,100,0,False,0,False
962,海天堂构,平路C,240,0,False,240,0,False,0,False
963,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
964,许家园,轮渡码头入口,250,500,True,300,0,False,50,True
965,音乐厅,福建路路口,160,0,False,160,0,False,0,False
966,三岔路口A,许家园,200,500,True,250,0,False,50,True
967,轮渡码头入口,陡坡B,80,500,True,170,0,False,90,True
968,许家园,平路C,190,0,False,190,0,False,0,False
969,轮渡码头入口,黄荣远堂,280,500,True,330,0,False,50,True
970,天主堂,协和礼拜堂,80,0,False,80,0,False,0,False
971,许家园,音乐厅,170,10,False,170,10,False,0,False
972,天主堂,音乐厅,200,0,False,200,0,False,0,False
973,黄荣远堂,陡坡B,200,0,False,200,0,False,0,False
974,协和礼拜堂,许家园,150,0,False,150,0,False,0,False
975,三岔路口A,黄荣远堂,230,500,True,280,0,False,50,True
976,平路C,天主堂,120,0,False,120,0,False,0,False
977,天主堂,海天堂构,120,10,False,120,0,False,0,True
978,天主堂,陡坡B,100,0,False,100,0,False,0,False
979,平路C,黄荣远堂,220,0,False,220,0,False,0,False
980,黄荣远堂,福建路路口,60,0,False,60,0,False,0,False
981,三岔路口A,许家园,200,500,True,250,0,False,50,True
982,三岔路口A,平路C,60,0,False,60,0,False,0,False
983,黄荣远堂,轮渡码头入口,280,500,True,330,0,False,50,True
984,平路C,音乐厅,320,0,False,320,0,False,0,False
985,黄荣远堂,平路C,220,0,False,220,0,False,0,False
986,许家园,协和礼拜堂,150,0,False,150,0,False,0,False
987,福建路路口,海天堂构,80,10,False,80,0,False,0,True
988,福建路路口,协和礼拜堂,120,0,False,120,0,False,0,False
989,黄荣远堂,三岔路口A,230,500,True,280,0,False,50,True
990,许家园,黄荣远堂,70,10,False,70,10,False,0,False
991,黄荣远堂,音乐厅,100,0,False,100,0,False,0,False
992,音乐厅,轮渡码头入口,380,500,True,430,0,False,50,True
993,海天堂构,轮渡码头入口,300,500,True,350,0,False,50,True
994,三岔路口A,轮渡码头入口,50,0,False,50,0,False,0,False
995,黄荣远堂,轮渡码头入口,280,500,True,330,0,False,50,True
996,音乐厅,海天堂构,120,0,False,120,0,False,0,False
997,轮渡码头入口,协和礼拜堂,100,500,True,150,0,False,50,True
998,协和礼拜堂,陡坡B,20,0,False,20,0,False,0,False
999,陡坡B,福建路路口,140,0,False,140,0,False,0,False
