simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
160,天主堂,轮渡码头入口,120,500,True,140,0,False
161,李传别宅,轮渡码头入口,170,520,True,190,20,False
162,福建路中段,许家园,70,30,False,70,30,False
163,李传别宅,鹿礁路口,120,520,True,140,20,False
164,黄荣远堂,许家园,30,10,False,30,10,False
165,福建路中段,黄荣远堂,40,20,False,40,20,False
166,海天堂构,天主堂,180,50,False,180,50,False
167,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
168,许家园,协和礼拜堂,220,580,True,300,80,False
169,轮渡码头入口,福建路中段,230,550,True,250,50,False
170,福建路中段,仰高别墅,130,400,True,130,400,True
171,协和礼拜堂,海天堂构,220,550,True,300,50,False
172,福建路中段,协和礼拜堂,150,550,True,230,50,False
173,海天堂构,鹿礁路口,250,550,True,270,50,False
174,仰高别墅,天主堂,240,450,True,240,450,True
175,仰高别墅,轮渡码头入口,360,950,True,380,450,True
176,协和礼拜堂,海天堂构,220,550,True,300,50,False
177,海天堂构,鹿礁路口,250,550,True,270,50,False
178,海天堂构,天主堂,180,50,False,180,50,False
179,鹿礁路口,黄荣远堂,220,570,True,240,70,False
180,李传别宅,福建路中段,60,30,False,60,30,False
181,福建路中段,海天堂构,70,0,False,70,0,False
182,海天堂构,轮渡码头入口,300,550,True,320,50,False
183,福建路中段,轮渡码头入口,230,550,True,250,50,False
184,黄荣远堂,轮渡码头入口,270,570,True,290,70,False
185,海天堂构,福建路中段,70,0,False,70,0,False
186,鹿礁路口,许家园,250,580,True,270,80,False
187,黄荣远堂,许家园,30,10,False,30,10,False
188,许家园,黄荣远堂,30,10,False,30,10,False
189,福建路中段,黄荣远堂,40,20,False,40,20,False
190,李传别宅,天主堂,50,20,False,50,20,False
191,福建路中段,天主堂,110,50,False,110,50,False
192,协和礼拜堂,海天堂构,220,550,True,300,50,False
193,许家园,轮渡码头入口,300,580,True,320,80,False
194,协和礼拜堂,海天堂构,220,550,True,300,50,False
195,李传别宅,鹿礁路口,120,520,True,140,20,False
196,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
197,协和礼拜堂,福建路中段,150,550,True,230,50,False
198,仰高别墅,许家园,130,420,True,130,420,True
199,海天堂构,协和礼拜堂,220,550,True,300,50,False
200,李传别宅,协和礼拜堂,90,520,True,170,20,False
201,李传别宅,黄荣远堂,100,50,False,100,50,False
202,福建路中段,李传别宅,60,30,False,60,30,False
203,黄荣远堂,仰高别墅,100,410,True,100,410,True
204,黄荣远堂,轮渡码头入口,270,570,True,290,70,False
205,鹿礁路口,仰高别墅,310,950,True,330,450,True
